"","SAMD_1","SAMP_1","SAMD_2","SAMP_2","SAMD_3","SAMP_3"
"ADAM22",-1.12861229175274,0.262845431992234,0.772399003258234,0.44423255312264,0.4466295186959,0.654519469312911
"ADAM23",-2.07557452918205,0.0399805846187035,2.08907670586209,0.0394250889871643,-0.236707382813229,0.812036457771546
"ADAM28",-0.500806697458981,0.618880379678568,-2.37055226254176,0.0195103009384101,2.69998143975149,0.0064243339445583
"ADAM30",-1.86357472189513,0.0653349153273649,-0.0982233646065148,0.922653435443857,1.68512385861359,0.0902319059432639
"ADAM5",-1.95960897602109,0.0524776183798943,-0.763462533361823,0.449477941969583,2.44486866888219,0.0136695070650415
"ADAM8",4.1964760099064,5.82461438895481e-05,-10.9680803636292,0,3.52199680592664,0.000365656347751052
"ADAM9",7.92916011669925,0,-5.95021577830129,0,-0.925472986427938,0.353169021680509
"ADAMDEC1",5.8511291122769,0,-10.5698275661641,0,1.75092338646217,0.0783324344730881
"ADAMTS1",4.07045024713316,8.95264804228239e-05,-1.59157758912239,0.11539963326502,-1.9055086505434,0.0554438571890842
"ADAMTS12",-1.49497159153806,0.139059432639413,-3.55268453993459,0.000566281954481717,4.17419118921408,1.29435875310107e-05
"ADAMTS13",-2.92127004375829,0.00408585913062237,0.665385519633618,0.509651601768957,2.07063219977502,0.0371060295545249
"ADAMTS2",1.65806500324456,0.100951353683529,2.40354210427038,0.0178826448063855,-3.8792289724832,8.52119512458203e-05
"ADAMTS20",-4.89307148109457,2.15726458850178e-06,-0.141416582196383,0.888885772840039,3.93948390794011,6.47179376550534e-05
"ADAMTS3",-2.28433621292817,0.0241473411713947,5.03100503240332,1.07863229425089e-06,-3.32006342380122,0.000798187897745659
"ADAMTS5",9.07996807267306,0,1.09582611135637,0.27778233200302,-9.32013494088904,0
"ADAMTS7",-3.0362514028402,0.00285729694747061,1.16203262091334,0.249323697551505,1.60761600667739,0.106248516880595
"ADAMTS8",-2.93738904156278,0.00390680616977672,2.19189239774067,0.0308424118218099,0.116634364097998,0.906401682666379
"ADAMTS9",2.48353868582055,0.0143835616438356,2.54962442472993,0.0121173551936145,-5.42258202364326,0
"ADAMTSL3",6.61182747908586,0,-4.32811293676733,3.77521302987811e-05,-3.46777959845752,0.000453025563585374
"ADAMTSL4",1.3301983289891,0.187349800453026,2.04159885322095,0.0439650523136663,-3.16210853150803,0.00140114335023191
"ADAP2",7.7502518557468,0,-13.8910558366055,0,4.80438126424346,2.15726458850178e-06
"ADARB1",4.93447031058152,0,-2.24627831852816,0.0268352928486679,-2.19697735011606,0.0267964620860749
"ADARB2",-4.1094928605191,7.8740157480315e-05,3.1289617405656,0.00221227483550858,0.160178651219373,0.872117355193615
"ADAT1",-0.990971511642401,0.325100852119512,-1.44155990458198,0.153428972063424,2.07783287209091,0.0364620860748571
"ADCK2",-3.26453251739188,0.00140437924711466,-3.53745081013273,0.000600798187897746,6.03022233812608,0
"ADCK3",-10.1862626223694,0,2.28001247776319,0.0246251752777478,6.39746874285659,0
"ADCK4",-2.84664785953844,0.00507280767986194,3.34303841694435,0.00116276561320246,-1.6207647484032,0.103437601121778
"ADCY2",0.186307520298386,0.853293064394348,2.00551029153933,0.0476766260381836,-2.41986676102743,0.0146338043361018
"ADCY3",-3.99039947217179,0.000114335023190594,-1.16200203932721,0.24933016934527,4.2397617993493,1.07863229425089e-05
"ADCY6",-0.317273737478514,0.752622155107324,2.62969886452393,0.00974760004314529,-2.19159707929728,0.0271772192859454
"ADCY7",6.14550195884787,0,-4.96574162914896,2.15726458850178e-06,-0.677981713375103,0.496520332218747
"ADCY8",-2.49928052384349,0.0137913925142919,1.24222239396341,0.218443533599396,0.813810730830322,0.414528098371265
"ADCY9",2.65747691977845,0.00889979505986409,-5.32563864950444,0,2.81376517012442,0.00453672742961924
"ADCYAP1",0.376806347077905,0.708125337072592,-3.31510963584026,0.0012781792686873,1.656231920127,0.096036026318628
"ADCYAP1R1",-2.48288780295582,0.0144094488188976,-0.0841195686382941,0.933610182288858,2.24976041908808,0.0232434473088124
"ADD1",0.295104802637718,0.769270844569086,3.04549318977515,0.00288749865170963,-3.00289530206192,0.00246036026318628
"ADD2",2.54295051395193,0.0122306115845108,4.29936402173749,4.53025563585374e-05,-6.27097173656263,0
"ADH1A",1.47752233970312,0.143576744687736,-4.44496111130327,2.26512781792687e-05,2.21563232808998,0.0255064178621508
"ADH1B",8.73904212190195,0,-7.8348849952878,0,-5.64173602249561,0
"ADH1C",0.33636938677997,0.73836587207421,-0.0591047909182859,0.953421421637364,-0.212783899991336,0.830798187897746
"ADH5",2.50147952170806,0.0137061805630461,-0.0283459709901768,0.977776938841549,-1.90439097398684,0.0555743716966886
"ADH6",-3.11890657601863,0.00223276884909934,-0.37868938430726,0.708074641354762,2.43447748797241,0.0140394779419696
"ADH7",-2.8712806889758,0.00472333081652465,-1.02434784739766,0.310494013590767,3.4913273655721,0.000422823859346349
"ADI1",-3.55531251964917,0.000537158882536943,2.07190553456386,0.0409912630784166,1.55366407425338,0.118622586560242
"ADIPOQ",7.00546201027367,0,-6.4399010395175,0,-5.58648342568513,0
"ADIPOR1",-2.72624169246769,0.00732175601337504,-1.50175797382422,0.137036997087693,3.69380661453349,0.000188760651493906
"ADIPOR2",-2.19840099271999,0.0298144752453888,6.41467784540807,0,-4.12730321015922,2.04940135907669e-05
"ADK",0.825168012026851,0.412642649120915,-5.39740310416423,0,3.95965186967102,5.60888793010463e-05
"ADM",7.07991166716355,0,-5.30718206875498,0,-1.25204494794763,0.208339984899148
"ADNP",-2.05683748475426,0.041866033869054,12.1604521354926,0,-8.37566352890471,0
"ADNP2",-0.334461096509995,0.739804767554741,3.01991366602197,0.0030924387876173,-2.54101246962239,0.0103462409664545
"ADO",-0.155678113457302,0.876925897961385,5.09842475188027,0,-4.39861263870829,6.47179376550534e-06
"ADORA1",-2.27323609423946,0.024836587207421,-0.96374161209163,0.339772408585913,2.72561475479385,0.00595297163197066
"ADORA2B",1.25428652866531,0.21344083701866,-1.15598622925881,0.251746305684392,-0.337391536255666,0.73534138712113
"ADPGK",-0.766645065691725,0.446411390357027,-1.32599640549646,0.189240642864847,1.75257892617981,0.0780422823859346
"ADPRH",-1.68250181334352,0.0959411066767339,0.706274082559997,0.483821594218531,0.875904589082735,0.379813396613095
"ADPRM",1.52359660372855,0.131529500593248,1.74624576536899,0.0843760112177759,-2.96148172031806,0.0028529824182936
"ADRA1B",-2.69378620706048,0.00805091144428864,0.936333800023427,0.353789235249703,1.35102338119694,0.174739510300938
"ADRA2A",7.1656634551264,0,-1.18854575259457,0.238960198468342,-5.54508468675664,0
"ADRA2C",-1.83325161050928,0.069742206881674,-3.16557631575245,0.00197497573077338,4.28577911090799,7.55042605975623e-06
"ADRB1",-1.81958104507588,0.0718325962679323,-0.185830565298236,0.854353359939597,1.59397835745375,0.10924387876173
"ADRB2",1.6167797038472,0.109458526588286,-7.10742264087211,0,3.45803943618244,0.000468126415704886
"ADRB3",-3.37015310693451,0.000996656239887822,1.32219926943194,0.190484305900119,1.6020167289827,0.107457663682451
"ADRBK1",-2.51500558133013,0.0132143242368677,-1.75545126141136,0.0827235465429835,3.83261229445123,0.000104627332542336
"ADRBK2",-1.06133153033496,0.292254341494984,-1.49976431634131,0.137593571351526,2.27503237100867,0.0217463056843922
"ADRM1",-2.45329648270458,0.0155452486247438,3.35453124753497,0.00112717074749218,-0.99531881411606,0.31774673713731
"ADSL",0.279936007474205,0.780858591306224,0.368367441124473,0.715819221227484,-0.601940566936311,0.545956207528853
"ADSS",-2.83071299206409,0.00534246575342466,1.28192940213254,0.204120375364038,1.54301463032879,0.121131485276669
"ADTRP",-2.26600483744149,0.0252755905511811,-3.03385539878543,0.00298673282278071,4.3725368764394,6.47179376550534e-06
"AES",0.175099446349069,0.861987919318304,-3.846720659691,0.000202782871319167,3.13341489295927,0.00154568007766153
"AFAP1",7.10747065988095,0,-2.12032299063537,0.0366141732283465,-4.69189354721253,2.15726458850178e-06
"AFF1",0.799972148035536,0.427108186819113,-4.33326447882455,3.55948657102794e-05,3.22751072361671,0.00110236220472441
