"","Dataset","ClusterK2_kmeans","ClusterK3_kmeans","ClusterK4_kmeans","ClusterK2_NMF","ClusterK3_NMF","ClusterK4_NMF"
"TCGA.13.1494","TCGA",2,1,1,2,1,1
"TCGA.13.1504","TCGA",2,1,1,2,1,1
"TCGA.29.1692","TCGA",2,1,1,2,1,3
"TCGA.13.1817","TCGA",2,3,3,2,3,3
"TCGA.61.1916","TCGA",2,3,4,2,3,4
"X4025","mayo.eset",2,3,3,2,3,3
"X4028","mayo.eset",1,3,4,1,3,4
"X4029","mayo.eset",1,2,2,1,2,1
"X4030","mayo.eset",1,3,4,2,3,4
"X4031","mayo.eset",1,2,4,1,2,4
"X4032","mayo.eset",2,1,1,2,1,3
"X4042","mayo.eset",2,1,3,2,3,3
"X4043","mayo.eset",1,3,4,1,2,4
"X4044","mayo.eset",2,1,1,2,1,3
"X4046","mayo.eset",1,2,2,1,2,2
"X4047","mayo.eset",2,1,3,2,1,3
"X4048","mayo.eset",2,1,1,2,1,1
"X4049","mayo.eset",1,3,4,1,3,4
"X4051","mayo.eset",1,3,4,1,2,4
"X4052","mayo.eset",1,3,4,1,2,1
"X4053","mayo.eset",2,1,1,2,1,3
"X4054","mayo.eset",1,2,2,1,2,2
"X4055","mayo.eset",1,3,4,1,2,2
"X4056","mayo.eset",2,1,1,2,1,4
"X4057","mayo.eset",1,2,2,1,2,2
"X4059","mayo.eset",2,1,1,1,1,1
"X4063","mayo.eset",1,3,4,1,2,4
"X4065","mayo.eset",2,1,3,2,3,3
"X4067","mayo.eset",1,3,4,1,2,2
"X4069","mayo.eset",2,1,1,1,1,1
"X4072","mayo.eset",1,2,2,1,2,2
"X4073","mayo.eset",1,3,4,1,2,4
"X4074","mayo.eset",1,2,4,1,2,2
"X4075","mayo.eset",1,3,4,1,3,4
"X4076","mayo.eset",1,2,2,1,2,2
"X4077","mayo.eset",1,3,4,1,2,4
"X4078","mayo.eset",1,3,4,1,3,2
"X4079","mayo.eset",2,1,1,2,1,1
"X4080","mayo.eset",1,3,4,1,2,4
"X4081","mayo.eset",1,3,4,1,2,4
"X4082","mayo.eset",2,1,1,2,1,4
"X4083","mayo.eset",1,3,4,1,3,4
"X4084","mayo.eset",1,3,4,1,3,4
"X4085","mayo.eset",1,3,4,1,3,4
"X4086","mayo.eset",2,3,3,2,3,4
"X4087","mayo.eset",1,3,4,2,3,4
"X4088","mayo.eset",1,3,3,1,3,2
"X4089","mayo.eset",1,2,2,1,2,2
"X4090","mayo.eset",2,1,3,2,3,3
"X4091","mayo.eset",1,2,2,1,2,2
"X4092","mayo.eset",1,2,2,1,2,2
"X4093","mayo.eset",1,3,4,1,3,4
"X4094","mayo.eset",2,1,1,2,3,4
"X4095","mayo.eset",1,3,4,1,3,4
"X4096","mayo.eset",1,2,4,1,2,4
"X4097","mayo.eset",2,3,3,2,3,3
"X4098","mayo.eset",2,3,3,2,3,3
"X4099","mayo.eset",2,3,3,2,3,3
"X4100","mayo.eset",2,3,3,2,3,3
"X4101","mayo.eset",1,2,2,1,2,2
"X4102","mayo.eset",2,1,1,2,1,3
"X4103","mayo.eset",2,1,1,2,1,1
"X4104","mayo.eset",2,1,1,2,1,1
"X4105","mayo.eset",1,2,2,1,2,2
"X4106","mayo.eset",2,1,3,2,3,4
"X4107","mayo.eset",2,1,1,2,1,3
"X4108","mayo.eset",2,1,1,2,1,1
"X4109","mayo.eset",1,3,4,1,2,4
"X4110","mayo.eset",1,2,2,1,2,2
"X4111","mayo.eset",1,3,4,1,3,4
"X4112","mayo.eset",1,3,4,1,3,4
"X4113","mayo.eset",1,2,2,1,2,2
"X4114","mayo.eset",2,1,1,1,2,1
"X4115","mayo.eset",2,1,1,2,1,1
"X4116","mayo.eset",2,3,3,2,3,3
"X4117","mayo.eset",1,2,2,1,2,2
"X4118","mayo.eset",2,1,1,2,1,1
"X4119","mayo.eset",2,1,3,2,3,3
"X4120","mayo.eset",2,1,1,2,1,1
"X4122","mayo.eset",2,1,1,2,1,3
"X4123","mayo.eset",1,3,4,1,2,4
"X4124","mayo.eset",1,3,4,1,2,4
"X4125","mayo.eset",1,3,2,1,2,2
"X4126","mayo.eset",2,3,3,2,3,3
"X4127","mayo.eset",1,1,1,1,2,2
"X4128","mayo.eset",1,3,4,1,2,4
"X4129","mayo.eset",1,2,2,1,2,2
"X4132","mayo.eset",1,3,4,1,3,4
"X4133","mayo.eset",2,1,1,2,1,3
"X4134","mayo.eset",1,2,2,1,2,2
"X4135","mayo.eset",1,2,2,1,2,2
"X4137","mayo.eset",2,1,1,2,1,1
"X4138","mayo.eset",1,2,2,1,2,2
"X4139","mayo.eset",2,1,3,2,3,3
"X4140","mayo.eset",1,3,4,1,2,4
"X4141","mayo.eset",1,2,2,1,2,2
"X4142","mayo.eset",2,1,1,2,1,1
"X4143","mayo.eset",2,3,3,2,3,3
"X4144","mayo.eset",2,1,1,2,1,1
"X4145","mayo.eset",2,1,3,2,3,3
"X4146","mayo.eset",2,1,1,2,1,1
"X4147","mayo.eset",2,3,3,2,3,3
"X4149","mayo.eset",1,2,2,1,2,2
"X4150","mayo.eset",1,2,2,1,2,1
"X4151","mayo.eset",2,1,3,2,1,3
"X4152","mayo.eset",1,2,2,1,2,1
"X4153","mayo.eset",2,1,1,2,1,1
"X4154","mayo.eset",1,2,2,1,2,1
"X4155","mayo.eset",2,1,1,2,1,1
"X4156","mayo.eset",2,1,3,2,1,3
"X4157","mayo.eset",2,1,3,2,3,3
"X4158","mayo.eset",2,1,1,2,1,1
"X4159","mayo.eset",1,3,4,1,2,4
"X4161","mayo.eset",2,3,3,2,3,4
"X4162","mayo.eset",1,3,4,1,3,4
"X4163","mayo.eset",2,1,1,2,3,3
"X4164","mayo.eset",1,2,2,1,2,2
"X4165","mayo.eset",1,3,4,1,2,4
"X4166","mayo.eset",2,3,3,2,3,3
"X4167","mayo.eset",1,2,4,1,2,1
"X4168","mayo.eset",1,2,2,1,2,2
"X4169","mayo.eset",2,3,3,2,3,4
"X4170","mayo.eset",1,2,4,1,2,4
"X4171","mayo.eset",2,1,1,2,1,1
"X4172","mayo.eset",2,1,1,2,1,1
"X4173","mayo.eset",1,3,4,1,3,4
"X4174","mayo.eset",2,1,3,2,1,3
"X4175","mayo.eset",1,2,2,1,2,2
"X4176","mayo.eset",1,3,4,1,3,2
"X4177","mayo.eset",1,3,3,1,3,2
"X4178","mayo.eset",1,2,2,1,2,2
"X4179","mayo.eset",2,1,1,2,1,1
"X4180","mayo.eset",2,1,1,2,1,1
"X4181","mayo.eset",1,2,2,1,2,2
"X4184","mayo.eset",2,1,3,2,3,3
"X4185","mayo.eset",1,2,2,1,2,2
"X4186","mayo.eset",2,1,1,2,1,1
"X4187","mayo.eset",1,3,4,1,3,4
"X4189","mayo.eset",2,1,1,2,1,1
"X4190","mayo.eset",2,3,4,2,3,4
"X4191","mayo.eset",2,1,1,2,1,1
"X4192","mayo.eset",2,3,3,2,3,3
"X4193","mayo.eset",2,1,3,2,1,3
"X4194","mayo.eset",1,3,4,1,3,4
"X4195","mayo.eset",1,2,2,1,2,2
"X4196","mayo.eset",2,1,1,2,1,1
"X4197","mayo.eset",1,2,2,1,2,2
"X4198","mayo.eset",1,3,2,1,2,2
"X4199","mayo.eset",1,3,4,1,3,4
"X4200","mayo.eset",2,3,3,2,3,4
"X4201","mayo.eset",2,1,1,2,1,1
"X4202","mayo.eset",2,1,1,2,1,1
"X4203","mayo.eset",2,1,1,2,1,1
"X4204","mayo.eset",2,1,3,2,3,3
"X4205","mayo.eset",1,2,2,1,2,2
"X4206","mayo.eset",2,1,1,2,1,1
"X4208","mayo.eset",2,1,1,2,1,1
"X4209","mayo.eset",1,2,2,1,2,2
"X4213","mayo.eset",2,3,3,2,3,4
"X4214","mayo.eset",1,2,2,1,2,2
"X4215","mayo.eset",1,3,4,1,3,4
"X4216","mayo.eset",1,3,4,1,2,2
"X4218","mayo.eset",2,1,1,2,1,1
"X4219","mayo.eset",2,1,1,2,1,1
"X4220","mayo.eset",2,1,3,2,3,3
"X4225","mayo.eset",2,1,3,2,3,3
"X4226","mayo.eset",1,2,2,1,2,2
"X4227","mayo.eset",1,3,4,1,2,2
"X4228","mayo.eset",2,3,3,2,3,4
"X4229","mayo.eset",2,3,3,2,3,4
"X4230","mayo.eset",1,3,4,1,3,4
"X4236","mayo.eset",2,3,3,2,3,3
"X4237","mayo.eset",2,1,1,1,1,1
"X4238","mayo.eset",1,2,2,1,2,2
"X4239","mayo.eset",1,2,4,1,2,1
"X4240","mayo.eset",1,2,2,1,2,2
"X4241","mayo.eset",1,3,4,1,2,4
"X4243","mayo.eset",1,2,2,1,2,2
"X4274","mayo.eset",1,3,4,1,3,4
"X1133902531","mayo.eset",1,3,4,1,3,4
"X1133902556","mayo.eset",2,3,3,2,3,3
"X1133902693","mayo.eset",2,3,3,2,3,3
"X1133902744","mayo.eset",1,3,4,1,3,2
"X1133902804","mayo.eset",1,3,3,1,3,4
"X1133902607","mayo.eset",1,3,4,1,3,4
"X1133902579","mayo.eset",2,3,3,2,3,3
"X1133902987","mayo.eset",1,3,3,1,3,2
"X1133902696","mayo.eset",1,3,3,1,3,2
"X1133902976","mayo.eset",2,3,3,2,3,4
"X1133902587","mayo.eset",1,3,4,1,3,4
"X1133902731","mayo.eset",1,3,4,1,3,2
"X1133902507","mayo.eset",2,3,3,2,3,3
"X1133902773","mayo.eset",1,3,4,1,2,4
"X1133902735","mayo.eset",1,3,4,1,2,4
"X1133902551","mayo.eset",2,3,3,2,3,3
"X1133902671","mayo.eset",2,1,3,2,3,3
"X1133902647","mayo.eset",2,1,3,2,3,3
"X1133902711","mayo.eset",2,1,3,2,3,3
"X1133902651","mayo.eset",2,1,3,2,3,3
"X1133903011","mayo.eset",2,1,3,2,3,3
"X1133902683","mayo.eset",2,1,1,2,1,3
"X1133902836","mayo.eset",2,1,1,2,1,3
"X1133902699","mayo.eset",2,1,1,2,1,1
"X1133902676","mayo.eset",2,3,1,2,3,4
"X1133902707","mayo.eset",2,1,1,2,3,3
"X1133902999","mayo.eset",2,1,3,2,3,3
"X1133902611","mayo.eset",2,1,1,2,1,1
"X1133902595","mayo.eset",2,1,1,1,2,2
"X1133902575","mayo.eset",2,3,1,2,3,4
"X1133902563","mayo.eset",2,1,1,2,1,1
"X1133902843","mayo.eset",2,1,1,1,1,1
"X1133902963","mayo.eset",2,3,3,2,3,3
"X1133903015","mayo.eset",2,1,3,2,1,3
"X1133902827","mayo.eset",1,2,2,1,2,2
"X1133902900","mayo.eset",2,1,1,2,1,1
"X1133902928","mayo.eset",2,1,1,2,1,3
"X1133902808","mayo.eset",1,3,4,1,2,4
"X1133902903","mayo.eset",2,3,4,2,3,4
"X1133903031","mayo.eset",1,3,1,1,2,1
"X1133902635","mayo.eset",1,1,1,1,2,1
"X1133902567","mayo.eset",2,1,1,2,1,1
"X1133902907","mayo.eset",2,1,1,2,1,1
"X1133902831","mayo.eset",1,2,1,1,2,1
"X1133903007","mayo.eset",1,1,1,1,2,1
"X1133902615","mayo.eset",1,2,2,1,2,2
"X1133902723","mayo.eset",1,2,2,1,2,2
"X1133902967","mayo.eset",1,2,2,1,2,2
"X1133902840","mayo.eset",1,2,2,1,2,2
"X1133903027","mayo.eset",1,2,2,1,2,1
"X1133902779","mayo.eset",1,2,2,1,2,2
"X1133902727","mayo.eset",1,3,4,1,2,4
"X1133902623","mayo.eset",1,3,4,1,2,2
"X1133902655","mayo.eset",1,3,4,1,2,2
"X1133902503","mayo.eset",1,2,4,1,2,4
"X1133902819","mayo.eset",1,3,4,1,3,4
"X1133902939","mayo.eset",1,3,4,1,3,4
"X1133902824","mayo.eset",2,1,1,2,1,1
"X1133903200","mayo.eset",1,2,2,1,2,2
"X1133903235","mayo.eset",1,2,2,1,2,2
"X1133903295","mayo.eset",1,2,2,1,2,2
"X1133903327","mayo.eset",1,2,2,1,2,2
"X1133903167","mayo.eset",1,2,2,1,2,2
"X1133903079","mayo.eset",1,2,2,1,2,2
"X1133903303","mayo.eset",1,2,2,1,2,2
"X1133903363","mayo.eset",1,2,2,1,2,1
"X1133903245","mayo.eset",2,1,1,1,2,1
"X1133903391","mayo.eset",1,2,2,1,2,2
"X1133903359","mayo.eset",1,2,2,1,2,2
"X1133903355","mayo.eset",1,2,2,1,2,2
"X1133903192","mayo.eset",1,2,2,1,2,2
"X1133903495","mayo.eset",1,2,2,1,2,2
"X1133903203","mayo.eset",1,2,2,1,2,2
"X1133903063","mayo.eset",2,1,1,2,3,4
"X1133903240","mayo.eset",1,3,4,1,2,4
"X1133903299","mayo.eset",1,3,4,1,2,4
"X1133903324","mayo.eset",1,3,4,1,3,4
"X1133903468","mayo.eset",1,2,4,1,2,2
"X1133903147","mayo.eset",1,3,4,1,2,4
"X1133903267","mayo.eset",2,1,1,1,2,1
"X1133903083","mayo.eset",1,3,4,1,3,4
"X1133903388","mayo.eset",1,3,4,1,3,2
"X1133903499","mayo.eset",1,3,4,1,3,4
"X1133903315","mayo.eset",1,3,4,1,2,4
"X1133903072","mayo.eset",1,3,4,1,2,4
"X1133903215","mayo.eset",1,3,4,1,3,4
"X1133903068","mayo.eset",2,3,3,2,3,3
"X1133903308","mayo.eset",2,3,3,2,3,3
"X1133903447","mayo.eset",2,3,3,2,3,3
"X1133903451","mayo.eset",2,1,3,2,3,3
"X1133903176","mayo.eset",2,1,1,2,1,3
"X1133903319","mayo.eset",2,1,3,2,1,3
"X1133903479","mayo.eset",2,1,3,2,3,3
"X1133903459","mayo.eset",2,1,3,2,1,3
"X1133903183","mayo.eset",2,1,3,2,1,3
"X1133903251","mayo.eset",2,1,3,2,3,3
"X1133903416","mayo.eset",2,1,1,2,1,4
"X1133903179","mayo.eset",2,2,2,1,2,2
"X1133903211","mayo.eset",2,1,3,2,3,3
"X1133903376","mayo.eset",1,3,2,1,2,2
"X1133903483","mayo.eset",1,3,4,1,3,4
"X1133903284","mayo.eset",2,1,1,2,1,3
"X1133903383","mayo.eset",2,1,3,2,3,3
"X1133903291","mayo.eset",2,1,1,2,1,3
"X1133903312","mayo.eset",2,1,1,2,1,1
"X1133903419","mayo.eset",2,1,3,2,1,3
"X1133903339","mayo.eset",2,1,3,2,1,3
"X1133903487","mayo.eset",2,1,1,2,1,3
"X1133903403","mayo.eset",2,3,3,1,2,2
"X1133903288","mayo.eset",2,3,3,2,3,3
"X1133903087","mayo.eset",2,3,3,2,3,3
"X1133903113","mayo.eset",2,1,1,2,1,1
"X1133903463","mayo.eset",2,1,1,2,1,1
"X1133903455","mayo.eset",2,1,1,2,1,1
"X1133903091","mayo.eset",2,1,1,2,1,1
"X1133903159","mayo.eset",1,3,4,1,3,4
"X1133903259","mayo.eset",2,1,1,2,1,1
"X1133903429","mayo.eset",2,1,1,2,1,1
"X1133903332","mayo.eset",1,3,4,1,3,4
"X1133903151","mayo.eset",2,1,1,2,1,1
"X1133903219","mayo.eset",2,1,1,2,1,1
"X1133903411","mayo.eset",2,1,1,2,1,1
"X1133902411","mayo.eset",2,1,1,2,1,1
"X1133903591","mayo.eset",1,1,4,1,2,1
"X1133903711","mayo.eset",2,1,1,1,1,1
"X1133903632","mayo.eset",2,1,1,2,1,1
"X1133902423","mayo.eset",1,2,2,1,2,2
"X1133903647","mayo.eset",1,2,2,1,2,2
"X1133902475","mayo.eset",1,2,2,1,2,2
"X1133902439","mayo.eset",1,2,2,1,2,2
"X1133902459","mayo.eset",1,2,2,1,2,2
"X1133902487","mayo.eset",1,3,4,1,2,4
"X1133903503","mayo.eset",1,2,4,1,2,2
"X1133903539","mayo.eset",1,2,2,1,2,2
"X1133903567","mayo.eset",1,2,2,1,2,2
"X1133903573","mayo.eset",2,1,1,2,1,1
"X1133903577","mayo.eset",2,1,1,2,1,1
"X1133903583","mayo.eset",1,2,2,1,2,2
"X1133902444","mayo.eset",1,3,4,1,3,4
"X1133902471","mayo.eset",1,3,4,1,3,4
"X1133902483","mayo.eset",2,3,3,2,3,4
"X1133902491","mayo.eset",2,1,3,2,3,3
"X1133902500","mayo.eset",2,1,1,2,1,3
"X1133903512","mayo.eset",1,3,4,1,3,4
"X1133903677","mayo.eset",1,3,4,1,3,4
"X1133903516","mayo.eset",1,3,4,1,3,4
"X1133903533","mayo.eset",2,3,3,2,3,3
"X1133903543","mayo.eset",2,1,1,2,1,1
"X1133903615","mayo.eset",2,1,1,2,1,3
"X1133903596","mayo.eset",2,3,3,2,3,4
"X1133903599","mayo.eset",2,3,3,2,3,4
"X1133903655","mayo.eset",2,3,3,2,3,4
"X1133903659","mayo.eset",2,3,3,2,3,4
"X1133903720","mayo.eset",2,3,3,2,3,4
"X1133903668","mayo.eset",2,1,1,1,2,1
"X1133903272.re.","mayo.eset",2,1,3,2,3,3
"X1133903664","mayo.eset",2,1,1,2,1,3
"X1133903640","mayo.eset",2,1,3,2,1,3
"X1133903691","mayo.eset",2,1,1,2,1,3
"X1133903619","mayo.eset",1,3,3,1,3,2
"X1325402484","mayo.eset",2,1,3,2,3,3
"X1325402466","mayo.eset",2,1,1,2,1,1
"X1325402486","mayo.eset",2,3,3,2,3,3
"X1133903696","mayo.eset",2,1,3,2,3,3
"X1325402472","mayo.eset",2,1,3,2,3,3
"X1325402474","mayo.eset",2,1,3,2,1,3
"X1325402492","mayo.eset",2,1,3,2,3,3
"X1325402463","mayo.eset",2,1,3,2,3,3
"X1325402503","mayo.eset",2,3,3,2,3,3
"X1325402481","mayo.eset",2,1,3,2,1,3
"X1325402456","mayo.eset",2,1,1,2,1,1
"X1325402495","mayo.eset",2,1,1,2,1,1
"X1325402498","mayo.eset",2,1,1,2,1,3
"X1325402489","mayo.eset",2,1,1,2,1,3
"X1325402460","mayo.eset",2,1,3,2,3,3
"X1325402467","mayo.eset",2,1,1,2,1,3
"X1325402485","mayo.eset",2,1,1,2,1,1
"X1325402490","mayo.eset",2,1,1,2,1,1
"X1325402504","mayo.eset",2,1,1,2,1,1
"X1325402469","mayo.eset",2,1,3,2,3,3
"X1325402455","mayo.eset",1,2,2,1,2,1
"X1325402459","mayo.eset",2,1,1,2,1,1
"X1325402475","mayo.eset",1,3,4,1,3,4
"X1325402473","mayo.eset",2,1,1,2,3,3
"X1325402476","mayo.eset",1,2,2,1,2,2
"X1325402511","mayo.eset",1,2,2,1,2,2
"X1325402499","mayo.eset",1,2,2,1,2,2
"X1325402507","mayo.eset",1,2,2,1,2,2
"X1325402502","mayo.eset",1,2,2,1,2,2
"X1325402508","mayo.eset",1,2,2,1,2,2
"X1325402491","mayo.eset",1,2,2,1,2,2
"X1325402493","mayo.eset",1,3,4,1,3,4
"X1325402483","mayo.eset",1,2,2,1,2,2
"X1325402501","mayo.eset",1,3,4,1,3,4
"X1325402510","mayo.eset",1,3,4,1,3,4
"X1325402500","mayo.eset",1,3,4,1,3,4
"X1325402468","mayo.eset",1,3,3,1,3,2
"X1325402479","mayo.eset",1,3,3,2,3,3
"X1325402494","mayo.eset",1,3,4,1,3,2
"X1325402457","mayo.eset",1,3,4,1,2,4
"X1325402488","mayo.eset",1,3,4,1,2,4
"X1325402470","mayo.eset",1,2,4,1,2,4
"X1325402461","mayo.eset",1,3,4,1,2,4
"GSM794865","Yoshihara",2,1,1,2,1,1
"GSM794866","Yoshihara",1,3,3,1,3,3
"GSM794867","Yoshihara",1,3,3,1,3,3
"GSM794868","Yoshihara",1,3,3,1,3,3
"GSM794869","Yoshihara",2,1,1,2,1,3
"GSM794870","Yoshihara",2,1,1,2,1,1
"GSM794871","Yoshihara",1,3,3,1,3,3
"GSM794872","Yoshihara",1,2,2,1,2,2
"GSM794873","Yoshihara",2,1,1,2,1,1
"GSM794874","Yoshihara",1,3,4,1,3,3
"GSM794875","Yoshihara",1,3,3,1,3,3
"GSM794876","Yoshihara",2,1,1,2,2,4
"GSM794877","Yoshihara",1,3,4,1,2,4
"GSM794878","Yoshihara",1,3,3,1,3,3
"GSM794879","Yoshihara",1,3,4,1,3,3
"GSM794880","Yoshihara",2,1,1,2,1,1
"GSM794881","Yoshihara",1,3,4,1,3,3
"GSM794882","Yoshihara",2,1,1,2,1,1
"GSM794883","Yoshihara",1,3,4,1,2,3
"GSM794884","Yoshihara",1,2,2,1,2,2
"GSM794885","Yoshihara",1,3,3,1,3,3
"GSM794886","Yoshihara",2,1,1,2,3,3
"GSM794887","Yoshihara",2,1,1,2,1,1
"GSM794888","Yoshihara",1,3,4,1,3,4
"GSM794889","Yoshihara",1,3,3,1,3,3
"GSM794890","Yoshihara",1,3,3,1,3,3
"GSM794891","Yoshihara",1,3,4,1,3,4
"GSM794892","Yoshihara",1,3,4,1,2,4
"GSM794893","Yoshihara",1,3,3,1,3,3
"GSM794894","Yoshihara",2,1,1,2,1,1
"GSM794895","Yoshihara",2,1,1,2,1,1
"GSM794897","Yoshihara",2,1,1,2,1,1
"GSM794898","Yoshihara",1,3,4,1,2,3
"GSM794899","Yoshihara",1,3,3,1,3,3
"GSM794900","Yoshihara",1,3,3,1,3,3
"GSM794901","Yoshihara",1,3,3,1,3,3
"GSM794902","Yoshihara",2,1,1,2,1,1
"GSM794903","Yoshihara",1,3,4,1,3,3
"GSM794904","Yoshihara",1,3,3,1,3,3
"GSM794905","Yoshihara",1,2,4,1,2,2
"GSM794906","Yoshihara",2,1,1,2,1,4
"GSM794907","Yoshihara",2,1,1,2,1,3
"GSM794908","Yoshihara",1,3,4,1,3,3
"GSM794909","Yoshihara",2,1,1,2,1,2
"GSM794910","Yoshihara",1,3,4,1,2,4
"GSM794911","Yoshihara",2,1,1,2,1,1
"GSM794912","Yoshihara",1,2,2,2,2,2
"GSM794913","Yoshihara",2,1,1,2,2,4
"GSM794914","Yoshihara",1,3,3,1,3,3
"GSM794915","Yoshihara",1,3,4,1,2,4
"GSM794916","Yoshihara",1,3,3,1,3,3
"GSM794917","Yoshihara",2,1,1,2,1,2
"GSM794918","Yoshihara",2,1,1,2,1,1
"GSM794919","Yoshihara",2,1,1,2,1,1
"GSM794920","Yoshihara",1,3,3,1,3,3
"GSM794921","Yoshihara",2,1,1,2,1,1
"GSM794922","Yoshihara",1,3,3,1,3,3
"GSM794923","Yoshihara",2,1,1,2,1,1
"GSM794924","Yoshihara",1,3,3,1,3,3
"GSM794925","Yoshihara",2,1,1,2,1,4
"GSM794926","Yoshihara",2,1,1,2,1,4
"GSM794927","Yoshihara",1,3,3,1,3,3
"GSM794928","Yoshihara",1,3,4,1,3,3
"GSM794929","Yoshihara",2,3,1,2,3,3
"GSM794930","Yoshihara",1,3,4,1,3,3
"GSM794931","Yoshihara",2,1,1,2,1,1
"GSM794932","Yoshihara",1,3,3,1,3,3
"GSM794934","Yoshihara",2,1,1,2,1,1
"GSM794936","Yoshihara",2,1,1,2,1,1
"GSM794937","Yoshihara",2,1,1,2,1,1
"GSM794938","Yoshihara",2,1,1,2,1,1
"GSM794939","Yoshihara",1,3,4,1,2,4
"GSM794940","Yoshihara",2,1,1,2,1,1
"GSM794941","Yoshihara",1,3,3,1,3,3
"GSM794942","Yoshihara",2,1,1,2,1,1
"GSM794944","Yoshihara",1,3,3,1,3,3
"GSM794945","Yoshihara",1,2,2,2,2,2
"GSM794946","Yoshihara",2,1,1,2,1,4
"GSM794947","Yoshihara",1,2,2,1,2,2
"GSM794948","Yoshihara",1,2,2,1,2,2
"GSM794949","Yoshihara",1,2,2,1,2,4
"GSM794950","Yoshihara",1,2,2,1,2,2
"GSM794951","Yoshihara",2,1,1,2,1,1
"GSM794952","Yoshihara",2,1,1,2,1,1
"GSM794953","Yoshihara",1,3,4,1,2,3
"GSM794954","Yoshihara",1,2,4,1,2,2
"GSM794955","Yoshihara",1,3,4,1,3,3
"GSM794956","Yoshihara",2,1,1,2,1,1
"GSM794957","Yoshihara",1,3,3,1,3,3
"GSM794958","Yoshihara",1,3,4,1,3,3
"GSM794959","Yoshihara",1,3,3,1,3,3
"GSM794960","Yoshihara",1,3,3,1,3,2
"GSM794961","Yoshihara",2,1,1,2,2,2
"GSM794962","Yoshihara",1,3,4,1,2,3
"GSM794963","Yoshihara",1,3,3,1,3,3
"GSM794964","Yoshihara",1,2,2,1,2,2
"GSM794965","Yoshihara",2,1,1,2,1,1
"GSM794966","Yoshihara",1,3,4,1,2,2
"GSM794967","Yoshihara",2,1,1,2,1,1
"GSM794968","Yoshihara",1,3,4,1,3,3
"GSM794969","Yoshihara",2,1,1,2,2,4
"GSM794970","Yoshihara",1,2,2,1,2,2
"GSM794971","Yoshihara",1,2,4,1,2,4
"GSM794972","Yoshihara",1,2,3,1,2,2
"GSM794973","Yoshihara",1,3,3,1,3,3
"GSM794974","Yoshihara",1,2,4,1,2,4
"GSM794975","Yoshihara",1,3,4,1,2,4
"GSM794976","Yoshihara",1,1,3,1,3,2
"GSM794977","Yoshihara",2,1,1,2,3,3
"GSM794978","Yoshihara",2,2,1,2,2,2
"GSM794979","Yoshihara",1,2,2,1,2,2
"GSM794980","Yoshihara",1,3,3,1,3,3
"GSM794981","Yoshihara",1,3,3,1,3,3
"GSM794982","Yoshihara",1,2,2,1,2,2
"GSM794983","Yoshihara",2,1,1,2,1,1
"GSM794984","Yoshihara",1,3,3,1,2,2
"GSM794985","Yoshihara",1,3,3,1,3,3
"GSM794986","Yoshihara",1,3,4,1,2,4
"GSM794987","Yoshihara",1,3,4,1,3,3
"GSM794988","Yoshihara",2,1,1,2,1,1
"GSM794989","Yoshihara",2,1,1,2,1,1
"GSM794990","Yoshihara",1,3,3,1,3,3
"GSM794991","Yoshihara",1,2,4,1,2,2
"GSM794992","Yoshihara",1,3,3,1,3,3
"GSM794993","Yoshihara",2,1,1,2,1,1
"GSM794994","Yoshihara",1,3,4,1,2,4
"GSM794995","Yoshihara",1,2,3,1,2,2
"GSM794996","Yoshihara",1,3,4,1,2,3
"GSM794997","Yoshihara",2,1,1,2,1,3
"GSM794998","Yoshihara",1,3,3,1,3,3
"GSM794999","Yoshihara",2,1,1,2,1,1
"GSM795000","Yoshihara",2,1,1,2,1,1
"GSM795001","Yoshihara",1,2,2,1,2,2
"GSM795002","Yoshihara",1,3,3,1,3,3
"GSM795003","Yoshihara",1,3,3,1,3,3
"GSM795004","Yoshihara",2,1,1,2,1,1
"GSM795005","Yoshihara",1,3,3,1,3,3
"GSM795006","Yoshihara",2,1,1,2,1,1
"GSM795007","Yoshihara",2,1,3,2,3,3
"GSM795008","Yoshihara",1,2,2,1,2,2
"GSM795009","Yoshihara",1,2,4,1,2,2
"GSM795010","Yoshihara",1,3,3,1,3,3
"GSM795011","Yoshihara",1,3,4,1,3,3
"GSM795012","Yoshihara",1,2,2,1,2,2
"GSM795014","Yoshihara",1,3,4,1,3,3
"GSM795015","Yoshihara",2,1,1,2,1,1
"GSM795016","Yoshihara",1,2,2,1,2,4
"GSM795017","Yoshihara",2,1,1,2,1,1
"GSM795018","Yoshihara",2,3,3,2,3,3
"GSM795019","Yoshihara",1,3,3,1,3,3
"GSM795020","Yoshihara",2,1,1,2,1,1
"GSM795021","Yoshihara",1,3,3,1,3,3
"GSM795022","Yoshihara",2,1,1,2,1,1
"GSM795023","Yoshihara",1,3,3,1,3,3
"GSM795024","Yoshihara",2,1,1,2,1,1
"GSM795025","Yoshihara",1,3,3,1,3,3
"GSM795026","Yoshihara",1,3,3,1,3,3
"GSM795027","Yoshihara",1,3,4,1,2,3
"GSM795028","Yoshihara",2,1,1,2,1,1
"GSM795029","Yoshihara",1,3,4,1,3,4
"GSM795030","Yoshihara",1,2,4,1,2,2
"GSM795031","Yoshihara",1,2,4,1,2,4
"GSM795032","Yoshihara",2,1,1,2,1,1
"GSM795033","Yoshihara",1,2,2,1,2,2
"GSM795034","Yoshihara",1,3,3,1,3,3
"GSM795035","Yoshihara",2,3,3,2,3,3
