probeset,hgnc
A_23_P204079,NPFF
A_23_P204087,OAS2
A_23_P204090,PTPN11
A_23_P2041,MICALCL
A_23_P204119,RBM19
A_23_P204133,GALNT6
A_23_P204144,KRT85
A_23_P204158,RNFT2
A_23_P204170,TMPO
A_23_P204187,PYROXD1
A_23_P204194,ABCC9
A_23_P204208,KLRD1
A_23_P204238,FOXJ2
A_23_P204246,PHC1P1///PHC1
A_23_P204252,M6PR
A_23_P204269,USP15
A_23_P20427,RHOBTB2
A_23_P204277,H2AFJ
A_23_P204286,MGP
A_23_P204296,RERG
A_23_P204304,PTPRO
A_23_P204324,DNM1L
A_23_P204333,ALG10
A_23_P204342,RFX4
A_23_P204355,ZNF384
A_23_P204364,NOP2
A_23_P20437,TIGD5
A_23_P204375,LPAR5
A_23_P204380,GNPTAB
A_23_P204395,AACS
A_23_P204406,KDM5A
A_23_P204417,ITFG2
A_23_P204423,PPP1CC
A_23_P204427,PPP1CC
A_23_P20443,LZTS1
A_23_P204436,GIT2
A_23_P204448,ANAPC5
A_23_P204472,RPLP0P6///RPLP0
A_23_P204482,RAB35
A_23_P204484,RAB35
A_23_P204503,PRKAB1
A_23_P204536,SENP1
A_23_P204541,CNTN1
A_23_P204550,SCYL2
A_23_P204564,PPP1R12A
A_23_P204579,TDG
A_23_P20458,NPBWR1
A_23_P204581,TXNRD1
A_23_P204609,VEZT
A_23_P20463,RAD21
A_23_P204630,NTN4
A_23_P204640,NANOG///NANOGP8
A_23_P204654,KITLG
A_23_P204671,CLEC12B
A_23_P204689,CLEC2D
A_23_P204696,CDKN1B
A_23_P204702,TMBIM6
A_23_P204721,AQP2
A_23_P204736,GPD1
A_23_P204745,SMARCD1
A_23_P204751,ASIC1
A_23_P204782,MDM1
A_23_P204791,NOS1
A_23_P20480,BRF2
A_23_P204801,SLC41A2
A_23_P204810,OSBPL8
A_23_P204828,NR2C1
A_23_P204836,ZC3H13
A_23_P20484,FGL1
A_23_P204847,LCP1
A_23_P204850,RB1
A_23_P204879,CAB39L
A_23_P204885,PCDH20
A_23_P204891,NUPL1
A_23_P204913,RNF17
A_23_P204929,AKAP11
A_23_P20494,NDRG1
A_23_P204941,GJB2
A_23_P204947,GJB2
A_23_P204958,LATS2
A_23_P204967,MPHOSPH8
A_23_P204979,MBNL2
A_23_P204980,UGGT2
A_23_P204998,FARP1
A_23_P205007,IPO5
A_23_P20502,SLC39A4
A_23_P205027,ABHD13
A_23_P205031,COL4A2
A_23_P205046,ANKRD10
A_23_P205057,PCDH17
A_23_P205074,SLC46A3
A_23_P205098,PDS5B
A_23_P205101,PROSER1
A_23_P205159,LMO7
A_23_P205164,POU4F1
A_23_P205177,F10
A_23_P205188,TMCO3
A_23_P205194,DCUN1D2
A_23_P2052,MMP26
A_23_P205216,UTP14A
A_23_P205228,ATP7B
A_23_P205236,PPP2R5C
A_23_P205247,RCOR1
A_23_P205255,WDR20
A_23_P205265,EIF5
A_23_P205273,PPP1R13B
A_23_P205281,C14orf2
A_23_P205293,EXD2
A_23_P205296,EXD2
A_23_P20532,CNTNAP3B
A_23_P205336,GSKIP
A_23_P205348,TCL6
A_23_P205355,SERPINA5
A_23_P205367,PPP4R4
A_23_P205370,ASB2
A_23_P205389,MOAP1
A_23_P205393,UBR7
A_23_P205408,MIA2
A_23_P205419,BRMS1L
A_23_P205428,FOXG1
A_23_P205435,NOVA1
A_23_P20544,TPD52L3
A_23_P205489,SLC7A8
A_23_P205499,LRP10
A_23_P205519,ABHD4
A_23_P205529,METTL17
A_23_P205531,RNASE4///ANG
A_23_P205549,MAX
A_23_P205553,SYNE2
A_23_P205567,PRKCH
A_23_P205575,GPR135
A_23_P20558,CDC37L1
A_23_P205584,JKAMP
A_23_P205607,TMEM260
A_23_P205611,GMFB
A_23_P205623,DDHD1
A_23_P205632,TRIM9
A_23_P205637,TRIM9
A_23_P205646,MAP4K5
A_23_P205659,KLHL28
A_23_P20566,TPM2
A_23_P205666,RGS6
A_23_P205686,PSEN1
A_23_P205697,DLST
A_23_P205713,STXBP6
A_23_P205724,NRDE2
A_23_P205738,BCL11B
A_23_P205746,EML1
A_23_P205768,ARPP19
A_23_P205778,GNB5
A_23_P20578,FAM166B
A_23_P205789,GABPB1
A_23_P205801,BLOC1S6
A_23_P205808,BLOC1S6
A_23_P205818,PPIP5K1
A_23_P205828,TJP1
A_23_P205841,MYO9A
A_23_P205855,ARIH1
A_23_P205867,NR2E3
A_23_P205875,SCAND2P
A_23_P205885,ZSCAN2
A_23_P205894,ACTC1
A_23_P205900,NTRK3
A_23_P205910,SLC24A1
A_23_P205913,SLC24A1
A_23_P205929,DPP8
A_23_P205944,LINS
A_23_P205959,ALDH1A3
A_23_P205986,IGF1R
A_23_P205997,APH1B
A_23_P206018,TPM1
A_23_P206022,ITGA11
A_23_P206059,PRC1
A_23_P20606,NIPSNAP3A
A_23_P206068,CHD2
A_23_P206077,AEN
A_23_P206084,HMG20A
A_23_P206092,LINGO1
A_23_P206103,ULK3
A_23_P206107,ULK3
A_23_P206110,CYP1A2
A_23_P206113,CYP1A2
A_23_P206120,FMN1
A_23_P206140,DNAJA4
A_23_P20615,ANP32B
A_23_P206169,TTBK2
A_23_P206177,SNAP23
A_23_P206212,THBS1
A_23_P206228,VPS13C
A_23_P206237,TELO2
A_23_P206272,USB1
A_23_P206280,GPR56
A_23_P206284,GPR56
A_23_P206290,GPR114
A_23_P206293,GPR114
A_23_P206301,GSPT1
A_23_P206310,KIAA0513
A_23_P206324,HSDL1
A_23_P206336,KCNG4
A_23_P206347,METTL9
A_23_P206359,CDH1
A_23_P206369,TMEM208
A_23_P206371,NOL3
A_23_P206382,C16orf70
A_23_P206396,CKLF///CKLF-CMTM1
A_23_P206400,MON1B
A_23_P206413,WWOX
A_23_P206424,CHD9
A_23_P206435,GAS8
A_23_P206441,FANCA
A_23_P206454,CENPBD1
A_23_P206466,CASKIN1
A_23_P206474,TRAF7
A_23_P20648,SURF1
A_23_P206484,TBL3///GFER
A_23_P206498,C16orf13
A_23_P206501,CLEC18A///CLEC18C///CLEC18B
A_23_P206510,GLG1
A_23_P206532,PHKB
A_23_P206568,TBX6
A_23_P206585,PRKCB
A_23_P206598,RBBP6
A_23_P2066,APIP
A_23_P20660,DIRAS2
A_23_P206612,USP31
A_23_P206656,MMP25
A_23_P206661,NQO1
A_23_P206677,PDPR
A_23_P206684,WWP2
A_23_P206697,CYB5B
A_23_P206707,MT1G
A_23_P206718,MT1X
A_23_P206724,MT1E
A_23_P206733,CES1P1///CES1
A_23_P206759,IST1
A_23_P20676,NAA35
A_23_P206760,HP///HPR
A_23_P206776,TAT
A_23_P206788,AP1G1
A_23_P206792,ZNF764
A_23_P206806,ITGAL
A_23_P206819,HSD3B7
A_23_P206822,XPO6
A_23_P20683,KIAA0020
A_23_P206830,PAM16///CORO7-PAM16
A_23_P206856,WDR59
A_23_P206877,RRN3
A_23_P206899,TMEM159
A_23_P206901,NDE1
A_23_P206920,MYH11
A_23_P206945,ACOX1
A_23_P206960,SEC14L1
A_23_P20697,ADAMTSL2
A_23_P206981,VEZF1
A_23_P206998,MTMR4
A_23_P207003,SEPT4
A_23_P207014,RAD51C
A_23_P207020,WDR45B
A_23_P207037,CD300A
A_23_P20704,IFNA10
A_23_P207058,SOCS3
A_23_P207068,USP22
A_23_P207089,SHBG
A_23_P207106,CHRNB1
A_23_P207113,FGF11
A_23_P207125,NLGN2
A_23_P20713,C8G
A_23_P207131,MAP3K3
A_23_P207138,MAP3K3
A_23_P207154,CSH2///CSH1
A_23_P207160,GH2
A_23_P207170,CSH1
A_23_P207174,CSH1
A_23_P207180,CSHL1
A_23_P207194,GH1
A_23_P207201,CD79B
A_23_P207213,ALDH3A1
A_23_P20722,SNAPC4
A_23_P207221,SLC47A1
A_23_P207245,TEKT3
A_23_P20728,SNAPC4
A_23_P207280,APPBP2
A_23_P207299,RNFT1
A_23_P207301,PRR11
A_23_P207307,PRR11
A_23_P207319,MAP3K14
A_23_P20732,GTF3C4
A_23_P207336,PPY
A_23_P207345,ADAM11
A_23_P207354,HIGD1B
A_23_P207367,STAT5A
A_23_P207387,GHDC
A_23_P207399,NBR1
A_23_P207400,BRCA1
A_23_P207414,PTGES3L-AARSD1///PTGES3L
A_23_P20743,TMEM246
A_23_P207445,MAP2K6
A_23_P207456,CCL8
A_23_P207461,CA10
A_23_P207476,SPAG9
A_23_P207493,LUC7L3
A_23_P207507,ABCC3
A_23_P207517,PDK2
A_23_P20752,CDK20
A_23_P207537,DUSP14
A_23_P207541,SYNRG
A_23_P207557,HNF1B
A_23_P207564,CCL4
A_23_P207582,CCL16
A_23_P207596,NF1
A_23_P207600,PSMD11
A_23_P207614,KIAA0100
A_23_P207620,ANKFY1
A_23_P207632,ATP2A3
A_23_P207648,CAMKK1
A_23_P207650,ACADVL
A_23_P207666,USP6
A_23_P207680,ARL17B///ARL17A
A_23_P207699,MAPT
A_23_P2077,OR4C3
A_23_P207719,GOSR2
A_23_P207736,USP36
A_23_P207742,THRA
A_23_P207766,ARHGDIA
A_23_P20777,RBM18
A_23_P207774,KSR1
A_23_P207783,TBC1D16
A_23_P207811,PAIP1
A_23_P207837,CPD
A_23_P207842,RARA
A_23_P207850,TNS4
A_23_P207868,KRTAP9-4
A_23_P207879,CARD14
A_23_P207896,CSNK1D
A_23_P207905,SECTM1
A_23_P207911,TRPV2
A_23_P207927,C17orf80
A_23_P207939,LDLRAD4
A_23_P207940,PTPN2P1///PTPN2
A_23_P207957,VAPA
A_23_P207967,CTIF
A_23_P207999,PMAIP1
A_23_P208009,SEC11C
A_23_P208013,ZNF407
A_23_P208029,DSC3
A_23_P208030,SYT4
A_23_P20804,FAM219A
A_23_P208041,ZNF24
A_23_P208055,LPIN2
A_23_P208069,METTL4
A_23_P208070,IMPACT
A_23_P208085,MBP
A_23_P208090,MBD1
A_23_P208119,PSTPIP2
A_23_P208126,SERPINB5
A_23_P208132,BCL2
A_23_P20814,DDX58
A_23_P208143,ZNF397
A_23_P208158,DTNA
A_23_P208167,FPR3
A_23_P208172,ZNF613
A_23_P208182,SIGLEC10
A_23_P208198,ZNF577
A_23_P208208,ZNF649
A_23_P208210,ZNF432
A_23_P20823,WDR34
A_23_P208238,ZNF137P
A_23_P208240,ZNF160
A_23_P208259,ZNF347
A_23_P208265,RPS5
A_23_P208288,ZNF304
A_23_P208293,PVRL2
A_23_P2083,ASCL3
A_23_P208302,APOC4-APOC2///APOC4///APOC2
A_23_P208310,CD3EAP
A_23_P20832,SPTAN1
A_23_P208325,ZNF235
A_23_P208334,PDE4A
A_23_P208340,SLC44A2
A_23_P208358,RPL28
A_23_P208369,ITPKC
A_23_P208373,CYP2B6
A_23_P208389,AXL
A_23_P208393,CCDC97
A_23_P208400,ADCK4
A_23_P208416,SLC35E1
A_23_P208422,F2RL3
A_23_P208446,SAFB
A_23_P208450,SLC25A23
A_23_P208469,LONP1
A_23_P208477,ELAVL1
A_23_P208482,CLEC4M
A_23_P208493,LILRB2
A_23_P208516,MBOAT7
A_23_P20852,AUH
A_23_P208523,LENG1
A_23_P208540,NDUFA3
A_23_P208551,LPHN1
A_23_P208567,PODNL1
A_23_P208579,CD97
A_23_P208595,LDLR
A_23_P208626,KLK13
A_23_P208636,SHANK1
A_23_P20864,ANGPTL2
A_23_P208674,EMC10
A_23_P208698,GYS1
A_23_P208706,BAX
A_23_P208737,FOXA3
A_23_P208747,PGLYRP1
A_23_P208752,ZNF566
A_23_P20876,PTPDC1
A_23_P208768,FCAR
A_23_P208779,EPS8L1
A_23_P208788,C19orf33
A_23_P208812,ZNF507
A_23_P20882,ATP6V1G1
A_23_P208835,MAP2K2
A_23_P208847,SIRT6
A_23_P208850,RPS16
A_23_P208866,GMFG
A_23_P208870,AKT2
A_23_P208880,UHRF1
A_23_P208900,SEMA6B
A_23_P208915,DPP9
A_23_P208925,SH3GL1
A_23_P208937,TLE6
A_23_P20894,EHMT1
A_23_P208961,MUM1
A_23_P208991,PALM
A_23_P209006,INSL3
A_23_P209032,ZNF302
A_23_P209055,CD22
A_23_P209066,ZNF599
A_23_P209088,COPE
A_23_P209098,CERS1///GDF1
A_23_P209129,LAIR2
A_23_P209135,LAIR1
A_23_P209146,ZNF91
A_23_P209152,RPS15
A_23_P209167,FSTL3
A_23_P209176,TMPRSS9
A_23_P209183,COLGALT1
A_23_P209195,C19orf12
A_23_P209200,CCNE1
A_23_P209215,STAM2
A_23_P209227,CACNB4
A_23_P209232,CLIP4
A_23_P209246,GLI2
A_23_P209269,PPM1B
A_23_P20927,TNKS
A_23_P209288,CUL3
A_23_P209298,EPB41L5
A_23_P209316,CCNT2
A_23_P20932,PDHB
A_23_P209320,PER2
A_23_P209337,METTL21A
A_23_P209347,ANKRD44
A_23_P209356,SPAST
A_23_P209360,KLHL29
A_23_P209389,CASP8
A_23_P209394,CFLAR
A_23_P209408,CASP10
A_23_P209426,TRAK2
A_23_P209430,ALS2
A_23_P209449,FZD7
A_23_P209459,GALNT3
A_23_P209464,CSRNP3
A_23_P209477,PPM1G
A_23_P209484,NEUROD1
A_23_P209499,PAX3
A_23_P209519,DNAJB2
A_23_P209527,VIL1
A_23_P209538,KANSL3
A_23_P209564,CYBRD1
A_23_P209578,GAD1
A_23_P209619,ATL2
A_23_P209625,CYP1B1
A_23_P209636,CDC42EP3
A_23_P209649,FASTKD2
A_23_P209652,INO80D
A_23_P209669,NRP2
A_23_P209678,PLEK
A_23_P209689,ROCK2
A_23_P209694,PAPOLG
A_23_P2097,TRIM68
A_23_P20970,ATG12
A_23_P209700,NMUR1
A_23_P209712,SP100
A_23_P209726,SP140
A_23_P209731,ARMC9
A_23_P209735,ARMC9
A_23_P209740,PSMD1
A_23_P209760,AMMECR1L
A_23_P209778,POLR2D
A_23_P209799,MYO7B
A_23_P20980,CYC1
A_23_P209805,NAB1
A_23_P209826,AAK1
A_23_P209856,ADD2
A_23_P209879,ATF2
A_23_P209904,GPC1
A_23_P209933,TGOLN2
A_23_P209944,RETSAT
A_23_P209954,GNLY
A_23_P209962,SMC6
A_23_P209978,VSNL1
A_23_P209987,POLR1B
A_23_P209995,IL1RN
A_23_P210001,PAX8
A_23_P210015,PTPN18
A_23_P21002,ADCY1
A_23_P210048,HDAC4
A_23_P210060,C2orf88
A_23_P210074,ZNF514
A_23_P210081,OSGEPL1
A_23_P210091,SUPT7L
A_23_P210100,CYP26B1
A_23_P210109,CYP26B1
A_23_P210131,ANKRD36C
A_23_P210164,HOXD8
A_23_P210176,ITGA6
A_23_P210210,EPAS1
A_23_P210224,DPYSL5
A_23_P210253,DGKD
A_23_P210274,HSPE1-MOB4///MOB4
A_23_P210300,ASXL2
A_23_P210319,DTNB
A_23_P210323,CEP68
A_23_P21033,GMPS///GMPSP1
A_23_P210330,LGALSL
A_23_P210348,COX7A2L
A_23_P210358,LIMS1
A_23_P210361,SLC17A9
A_23_P210379,ARFGAP1
A_23_P210395,CHRNA4
A_23_P210419,DLGAP4
A_23_P210425,MYL9
A_23_P210445,L3MBTL1
A_23_P210465,PI3
A_23_P210482,ADA
A_23_P210496,PCIF1
A_23_P210503,EPPIN-WFDC6///EPPIN
A_23_P210515,NCOA5
A_23_P210521,SLC2A10
A_23_P210538,ELMO2
A_23_P210554,SPATA2
A_23_P21057,SEPT1
A_23_P210577,FAM65C
A_23_P210581,KCNG1
A_23_P210608,ZNF217
A_23_P210619,RTFDC1
A_23_P210623,PCK1
A_23_P21063,SCN5A
A_23_P210643,NELFCD
A_23_P210658,SLMO2
A_23_P210675,SYCP2
A_23_P210686,ZCCHC3
A_23_P210690,TRIB3
A_23_P210708,SIRPA
A_23_P210719,NSFL1C
A_23_P21072,RAB24///MXD3
A_23_P210726,CDC25B
A_23_P210731,ADAM33
A_23_P210747,TRMT6
A_23_P210756,SNAP25
A_23_P210763,JAG1
A_23_P210807,CSTL1
A_23_P210829,PCMTD2
A_23_P210835,MYT1
A_23_P210849,PYGB
A_23_P210853,GINS1
A_23_P21086,LGI3
A_23_P210869,COX4I2
A_23_P210872,TM9SF4
A_23_P210886,BCL2L1
A_23_P210915,MYH7B
A_23_P21092,CALB2
A_23_P210920,GSS
A_23_P210939,EIF6
A_23_P210948,UQCC1
A_23_P210969,PHF20
A_23_P210977,SCAND1
A_23_P210995,OSBPL2
A_23_P211007,NRIP1
A_23_P211015,C21orf91
A_23_P211028,NCAM2
A_23_P211039,ADAMTS1
A_23_P211047,BACH1
A_23_P211056,PAXBP1
A_23_P211064,PAXBP1
A_23_P211079,OLIG2
A_23_P211080,IFNAR2
A_23_P211099,SON
A_23_P211106,SETD4
A_23_P211110,SIM2
A_23_P211126,DYRK1A
A_23_P211136,BRWD1
A_23_P211141,DSCAM
A_23_P211167,C21orf2
A_23_P211179,UBE2G2
A_23_P211196,C21orf67
A_23_P21120,CXorf38///MED14
A_23_P211207,ADARB1
A_23_P211212,COL18A1
A_23_P211227,POFUT2
A_23_P211233,COL6A2
A_23_P211244,PRMT2
A_23_P211247,PRMT2
A_23_P211252,LSS
A_23_P211267,RIPK4
A_23_P211273,TMPRSS3
A_23_P211285,NDUFV3
A_23_P211299,PKNOX1
A_23_P211302,WDR4
A_23_P211326,CECR2
A_23_P21134,DDIT3
A_23_P211345,TBX1
A_23_P211355,DGCR8
A_23_P211363,GNAZ
A_23_P2114,LAMTOR1
A_23_P211401,KREMEN1
A_23_P211417,RFPL1
A_23_P211428,SMTN
A_23_P21143,MALAT1
A_23_P211436,SF3A1
A_23_P211445,LIMK2
A_23_P211459,PATZ1
A_23_P211488,APOL2
A_23_P211493,TMPRSS6
A_23_P211504,KDELR3
A_23_P211522,SYNGR1
A_23_P211543,MCHR1
A_23_P21155,EDC3
A_23_P211550,XPNPEP3///RBX1
A_23_P211561,MEI1
A_23_P211572,SEPT3
A_23_P211584,SMDT1
A_23_P211598,PMM1
A_23_P211603,POLDIP3
A_23_P211619,SCUBE1
A_23_P21162,TCTEX1D2
A_23_P211627,NUP50
A_23_P211631,FBLN1
A_23_P211643,PPARA
A_23_P211659,CERK
A_23_P211673,HDAC10
A_23_P211680,MLC1
A_23_P211711,ZIC4
A_23_P211727,FGF12
A_23_P211738,UBP1
A_23_P211748,GTF2E1
A_23_P211762,COL8A1
A_23_P211773,ACAP2
A_23_P211785,ZNF35
A_23_P211797,OPA1
A_23_P211806,LRRFIP2
A_23_P211814,MAP4
A_23_P211816,MAP4
A_23_P211840,UBA3
A_23_P211850,ABHD6
A_23_P211864,RPP14
A_23_P211878,FLNB
A_23_P211899,GPR27
A_23_P211909,PLS1
A_23_P211910,PLOD2
A_23_P211926,WNT5A
A_23_P211948,P2RY13
A_23_P211957,TGFBR2
A_23_P211965,ATP6V1A
A_23_P211973,NEK11
A_23_P211985,SNRK
A_23_P211997,SEC22C
A_23_P212002,NKTR
A_23_P212025,ZBTB38
A_23_P212034,DLG1
A_23_P212042,MFI2
A_23_P212050,BCHE
A_23_P212061,MME
A_23_P21207,UBA7
A_23_P212073,MBNL1
A_23_P212089,NFKBIZ
A_23_P212105,DAZL
A_23_P212119,GALNT15
A_23_P212126,COLQ
A_23_P212149,VN1R20P
A_23_P212159,NUP210
A_23_P212160,TAMM41
A_23_P212179,HRH1
A_23_P21219,SETD2
A_23_P212196,OGG1
A_23_P212204,SETD5
A_23_P212213,THUMPD3
A_23_P212241,CHL1
A_23_P212258,KNG1
A_23_P212263,MASP1
A_23_P212284,POC1A
A_23_P21230,TRIM37
A_23_P212307,KIF9
A_23_P212310,ELP6
A_23_P212329,PTPN23
A_23_P212339,FYCO1
A_23_P21234,SLC41A3
A_23_P212354,CCR2
A_23_P212379,SLC6A20
A_23_P212383,SACM1L
A_23_P212397,LARS2
A_23_P212400,NAT6
A_23_P212423,XYLB
A_23_P212436,CTDSPL
A_23_P212447,IFT122
A_23_P212458,SEC61A1
A_23_P212469,ENTPD3
A_23_P212475,SHISA5
A_23_P212482,SLC9A9
A_23_P212497,ACAD11///NPHP3
A_23_P212500,TF
A_23_P212508,TF
A_23_P212511,TTC14
A_23_P212522,ATP11B
A_23_P212535,CHMP2B
A_23_P212545,RAB5A
A_23_P212552,TBL1XR1
A_23_P212554,TBL1XR1
A_23_P212568,TRAT1
A_23_P212579,DAG1
A_23_P212595,VPRBP
A_23_P21260,IGKV1-39///IGKV1D-39
A_23_P212608,CLSTN2
A_23_P212617,TFRC
A_23_P212626,LINC00969
A_23_P212639,TRA2B
A_23_P212649,ZNF717
A_23_P212655,KLHL6
A_23_P212665,ABCC5
A_23_P212672,NME9
A_23_P212675,NME9
A_23_P212688,MECOM
A_23_P212696,FSTL1
A_23_P212706,ATG3
A_23_P212715,CBLB
A_23_P212728,TBC1D23
A_23_P212749,HTT///MSANTD1
A_23_P212756,GRK4
A_23_P212768,ADD1
A_23_P212779,PARM1
A_23_P21278,MTBP
A_23_P212781,SEPT11
A_23_P212792,CEP135
A_23_P212812,CPLX1
A_23_P212825,NAA15
A_23_P212830,FGFR3
A_23_P212844,TACC3
A_23_P212854,GYPB
A_23_P212869,GABRA2
A_23_P212870,SMAD1
A_23_P212888,PCDH7
A_23_P2129,TMEM126B
A_23_P212914,RUFY3
A_23_P212937,GRSF1
A_23_P212945,HTN3
A_23_P212954,UGT2A1
A_23_P212968,UGT2B11///UGT2B28
A_23_P212974,OTUD4
A_23_P212977,OTUD4
A_23_P212983,ZCCHC4
A_23_P213000,WDR1
A_23_P213014,SLC2A9
A_23_P213020,PSAPL1
A_23_P213038,GSTCD
A_23_P213045,LEF1
A_23_P213050,HPGD
A_23_P213069,TMEM33
A_23_P213085,SLC10A7
A_23_P213093,OCIAD1
A_23_P213102,PALLD
A_23_P213114,TEC
A_23_P213126,BMP2K
A_23_P213137,LNX1
A_23_P213141,TRIM2
A_23_P213153,HNRNPDL
A_23_P21316,PRUNE
A_23_P213166,C4orf21
A_23_P213171,MTTP
A_23_P213199,DNAJB14
A_23_P213204,WHSC1
A_23_P213216,NELFA
A_23_P213228,PHOX2B
A_23_P213237,CBR4
A_23_P213247,FBXL5
A_23_P213255,SMARCAD1
A_23_P213288,SCD5
A_23_P213298,ARSJ
A_23_P213306,KLF3
A_23_P213319,ADAMTS6
A_23_P213326,ANKHD1///ANKHD1-EIF4EBP3
A_23_P21333,MKRN3
A_23_P213336,FGF1
A_23_P213344,DIAPH1
A_23_P213359,PCDH1
A_23_P213369,KIAA0141
A_23_P213375,PCDHB2
A_23_P213385,BASP1
A_23_P213394,FLT4
A_23_P213415,SEMA5A
A_23_P213424,ENC1
A_23_P213431,GFM2
A_23_P213441,UTP15
A_23_P213458,BTF3P5///BTF3
A_23_P21346,PCGF3
A_23_P213471,LPCAT1
A_23_P213486,PARP8
A_23_P213508,PCSK1
A_23_P213518,CAST
A_23_P213527,GPR150
A_23_P213541,SNX18
A_23_P213562,F2R
A_23_P213584,HK3
A_23_P213592,RNF44
A_23_P213602,CSNK1G3
A_23_P213615,ADAMTS2
A_23_P213620,PPP2R2B
A_23_P21363,AHNAK
A_23_P213638,PANK3
A_23_P213661,PPIP5K2
A_23_P213678,PAM
A_23_P213699,NRG2
A_23_P213706,IL4
A_23_P213718,UQCRQ
A_23_P213728,CAMLG
A_23_P213745,CXCL14
A_23_P213754,PAIP2
A_23_P21376,MAGI2
A_23_P213766,ANKH
A_23_P213798,SYNPO
A_23_P21382,USP19///LAMB2
A_23_P213832,SPINK7
A_23_P213840,ATP6V0E1
A_23_P213857,C7
A_23_P213863,FAM193B
A_23_P213877,C5orf42
A_23_P213883,NIPBL
A_23_P213893,MEGF10
A_23_P213908,PHAX
A_23_P213920,GABRG2
A_23_P213944,HBEGF
A_23_P213959,PPARGC1B
A_23_P213966,TIGD6
A_23_P214011,CDH6
A_23_P214026,FBN2
A_23_P214037,NPM1P6///NPM1P37///NPM1P27///NPM1
A_23_P214046,FBXW11
A_23_P214059,NR3C1
A_23_P214066,ARHGAP26
A_23_P214079,SPINK1
A_23_P214080,EGR1
A_23_P21409,CEP63
A_23_P214091,LYPLA1P3///LYPLA1
A_23_P214108,TPMT
A_23_P214111,KIF13A
A_23_P214121,AMD1
A_23_P214139,REV3L
A_23_P214144,COL10A1
A_23_P214156,SENP6
A_23_P214168,COL12A1
A_23_P214176,CD109
A_23_P214185,UBE2J1
A_23_P214208,CNR1
A_23_P214211,RARS2
A_23_P214222,MARCKS
A_23_P214244,ENPP5
A_23_P21425,GPR119
A_23_P214267,GPR110
A_23_P214273,MUT
A_23_P214281,PAQR8
A_23_P214291,EFHC1
A_23_P2143,SPCS2P4///SPCS2
A_23_P214300,GSTA2///GSTA1///GSTA5
A_23_P214330,SERPINB1
A_23_P214344,WRNIP1
A_23_P214354,EXOC2
A_23_P21436,PHF19
A_23_P214360,IRF4
A_23_P214408,UNC93A
A_23_P214411,GLO1
A_23_P214425,NFYA
A_23_P214432,GTPBP2
A_23_P214444,TAP2
A_23_P214459,PRPH2
A_23_P214464,CCND3
A_23_P214474,PRICKLE4///TOMM6
A_23_P214487,HIST1H4C
A_23_P214499,BTN3A1
A_23_P214529,ZKSCAN8
A_23_P214533,ZSCAN31
A_23_P214544,GPX5
A_23_P214554,TRIM15
A_23_P214565,MAS1L
A_23_P21457,NMD3
A_23_P214578,TRIM10
A_23_P214587,TRIM26
A_23_P214594,TRIM39///RPP21///TRIM39-RPP21
A_23_P214603,FLOT1
A_23_P214627,AIF1
A_23_P214638,EHMT2
A_23_P214658,PBX2P1///PBX2
A_23_P214666,RPS18///RPS18P9
A_23_P214678,CUTA
A_23_P214681,PPARD
A_23_P214727,GPR63
A_23_P21473,CEP70
A_23_P214739,FBXL4
A_23_P214743,SIM1
A_23_P214756,GPR126
A_23_P214766,HIVEP2
A_23_P214779,UTRN
A_23_P214789,SNX9
A_23_P214798,SYNCRIP
A_23_P214803,SNAP91
A_23_P214812,SIRT5
A_23_P214821,EDN1
A_23_P214839,MAK
A_23_P21485,PID1
A_23_P214866,RREB1
A_23_P214876,JARID2
A_23_P214882,MTRF1L
A_23_P214897,AKAP12
A_23_P214907,MTHFD1L
A_23_P214908,MTHFD1L
A_23_P214935,VNN3
A_23_P214944,ALDH8A1
A_23_P21495,FCGBP
A_23_P214950,PERP
A_23_P214969,CITED2
A_23_P214977,SEC63
A_23_P215009,FAM65B
A_23_P215024,LRRC1
A_23_P215037,WTAP
A_23_P215048,SOGA3///KIAA0408
A_23_P215051,ECHDC1
A_23_P215060,PODXL
A_23_P215070,CEP41
A_23_P215088,ZC3HC1
A_23_P215096,UBE2HP1///UBE2H
A_23_P215109,CPA5
A_23_P215111,ATP6V0A4
A_23_P215132,WDR91
A_23_P215140,FASTK
A_23_P215154,NUB1
A_23_P215175,ABCF2
A_23_P215198,TYW1///TYW1B
A_23_P2152,NDUFC2
A_23_P215208,FIGNL1
A_23_P215214,LMBR1
A_23_P215227,DNAJB6
A_23_P215233,SLC12A9///TRIP6
A_23_P215253,POLR2J4///POLR2J3
A_23_P215265,GNA12
A_23_P215275,LMTK2
A_23_P215283,TAC1
A_23_P215296,CDK13
A_23_P215318,VPS41
A_23_P215328,SFRP4
A_23_P215331,CRHR2
A_23_P215341,FKBP14
A_23_P215406,RAC1
A_23_P215419,ICA1
A_23_P215421,WIPI2
A_23_P215431,POM121
A_23_P215435,POM121
A_23_P215449,BAZ1B
A_23_P215454,ELN
A_23_P215459,ELN
A_23_P215461,LIMK1
A_23_P215479,CLIP2
A_23_P21548,ARHGAP10
A_23_P215484,CCL26
A_23_P215491,CCL24
A_23_P215505,RAPGEF5
A_23_P215517,KLHL7
A_23_P215525,OSBPL3
A_23_P215534,RBM33
A_23_P215549,PON3
A_23_P215566,AHR
A_23_P215577,HDAC9
A_23_P215599,SRPK2
A_23_P21560,FAM49A
A_23_P215604,CASD1
